Crash Breakdown 2,Date Of Loss Year,Crash Severity,Cyclist Flag,Day Of Week,Derived Crash Congifuration,Intersection Crash,Month Of Year,Motorcycle Flag,Municipality Name (ifnull),Parking Lot Flag,Pedestrian Flag,Region,Street Full Name (ifnull),Time Category,Crash Breakdown,Cross Street Full Name,Heavy Veh Flag,Mid Block Crash,Municipality Name,Municipality With Boundary,Road Location Description,Street Full Name,Crash Count,Latitude,Longitude,Number of Records
LOWER MAINLAND,2019,PROPERTY DAMAGE ONLY,Yes,WEDNESDAY,SINGLE VEHICLE,Yes,JANUARY,No,VANCOUVER,No,No,LOWER MAINLAND,EXPO BLVD,09:00-11:59,WEDNESDAY,CARRALL ST,N,N,VANCOUVER,VANCOUVER,CARRALL ST & EXPO BLVD,EXPO BLVD,1,49.278046,-123.106155,1
LOWER MAINLAND,2017,CASUALTY,Yes,WEDNESDAY,SINGLE VEHICLE,Yes,SEPTEMBER,No,PORT COQUITLAM,No,No,LOWER MAINLAND,COAST MERIDIAN RD,15:00-17:59,WEDNESDAY,LINCOLN AVE,N,N,PORT COQUITLAM,PORT COQUITLAM,COAST MERIDIAN RD & LINCOLN AVE & LINCOLN DR,COAST MERIDIAN RD,1,49.278459,-122.75613800000001,1
LOWER MAINLAND,2019,CASUALTY,Yes,WEDNESDAY,UNDETERMINED,Yes,SEPTEMBER,No,BURNABY,No,No,LOWER MAINLAND,WILLINGDON AVE,15:00-17:59,WEDNESDAY,GEORGIA ST,N,N,BURNABY,BURNABY,GEORGIA ST & WILLINGDON AVE,WILLINGDON AVE,1,49.278268,-123.003142,1
LOWER MAINLAND,2016,CASUALTY,Yes,FRIDAY,SINGLE VEHICLE,Yes,AUGUST,No,VANCOUVER,No,No,LOWER MAINLAND,HORNBY ST,06:00-08:59,FRIDAY,DAVIE ST,N,N,VANCOUVER,VANCOUVER,DAVIE ST & HORNBY ST,HORNBY ST,1,49.278405,-123.128134,1
LOWER MAINLAND,2018,CASUALTY,Yes,FRIDAY,SINGLE VEHICLE,Yes,MAY,No,VANCOUVER,No,No,LOWER MAINLAND,ABBOTT ST,18:00-20:59,FRIDAY,EXPO BLVD,N,N,VANCOUVER,VANCOUVER,ABBOTT ST & EXPO BLVD & PAT QUINN WAY,ABBOTT ST,1,49.278645,-123.107641,1
LOWER MAINLAND,2019,CASUALTY,Yes,TUESDAY,SINGLE VEHICLE,Yes,AUGUST,No,SURREY,No,No,LOWER MAINLAND,32 AVE,06:00-08:59,TUESDAY,KING GEORGE BLVD,N,N,SURREY,SURREY,32 AVE & KING GEORGE BLVD,32 AVE,1,49.060255,-122.811812,1
LOWER MAINLAND,2018,CASUALTY,Yes,SATURDAY,SINGLE VEHICLE,Yes,MAY,No,SURREY,No,No,LOWER MAINLAND,154 ST,12:00-14:59,SATURDAY,CROYDON DR,N,N,SURREY,SURREY,154 ST & 32 AVE & CROYDON DR,154 ST,1,49.060643,-122.797402,1
LOWER MAINLAND,2017,CASUALTY,Yes,THURSDAY,SINGLE VEHICLE,Yes,MAY,No,DELTA,Yes,No,LOWER MAINLAND,64 ST,09:00-11:59,THURSDAY,DAWN DR,N,N,DELTA,DELTA,64 ST & DAWN DR,64 ST,1,49.084123,-123.046295,1
LOWER MAINLAND,2016,CASUALTY,Yes,WEDNESDAY,SINGLE VEHICLE,Yes,AUGUST,No,VANCOUVER,No,No,LOWER MAINLAND,BEATTY ST,15:00-17:59,WEDNESDAY,ROBSON ST,N,N,VANCOUVER,VANCOUVER,BEATTY ST & ROBSON ST,BEATTY ST,1,49.277588,-123.113963,1
LOWER MAINLAND,2017,CASUALTY,Yes,TUESDAY,SINGLE VEHICLE,Yes,NOVEMBER,No,VANCOUVER,No,No,LOWER MAINLAND,BURRARD ST,18:00-20:59,TUESDAY,HARWOOD ST,N,N,VANCOUVER,VANCOUVER,BURRARD ST & HARWOOD ST,BURRARD ST,1,49.277669,-123.131347,1
LOWER MAINLAND,2019,CASUALTY,Yes,WEDNESDAY,SINGLE VEHICLE,Yes,AUGUST,No,VANCOUVER,No,No,LOWER MAINLAND,PACIFIC ST,18:00-20:59,WEDNESDAY,THURLOW ST,N,N,VANCOUVER,VANCOUVER,PACIFIC ST & THURLOW ST,PACIFIC ST,1,49.278256,-123.134424,1
LOWER MAINLAND,2018,CASUALTY,Yes,FRIDAY,SINGLE VEHICLE,Yes,OCTOBER,No,VANCOUVER,Yes,No,LOWER MAINLAND,RICHARDS ST,21:00-23:59,FRIDAY,SMITHE ST,N,N,VANCOUVER,VANCOUVER,RICHARDS ST & SMITHE ST,RICHARDS ST,1,49.279049,-123.119478,1
LOWER MAINLAND,2017,CASUALTY,Yes,THURSDAY,SINGLE VEHICLE,Yes,NOVEMBER,No,VANCOUVER,No,No,LOWER MAINLAND,BURRARD ST,18:00-20:59,THURSDAY,DAVIE ST,N,N,VANCOUVER,VANCOUVER,BURRARD ST & DAVIE ST,BURRARD ST,1,49.279077,-123.129182,1
LOWER MAINLAND,2016,PROPERTY DAMAGE ONLY,Yes,THURSDAY,SINGLE VEHICLE,Yes,DECEMBER,No,VANCOUVER,No,No,LOWER MAINLAND,BURRARD ST,09:00-11:59,THURSDAY,DAVIE ST,N,N,VANCOUVER,VANCOUVER,BURRARD ST & DAVIE ST,BURRARD ST,1,49.279077,-123.129182,1
LOWER MAINLAND,2017,CASUALTY,Yes,TUESDAY,SINGLE VEHICLE,Yes,JUNE,No,BURNABY,No,No,LOWER MAINLAND,UNION ST,15:00-17:59,TUESDAY,ROSSER AVE,N,N,BURNABY,BURNABY,ROSSER AVE & UNION ST,UNION ST,1,49.277395,-123.005966,1
LOWER MAINLAND,2018,CASUALTY,Yes,TUESDAY,SIDE IMPACT,Yes,SEPTEMBER,No,VANCOUVER,Yes,No,LOWER MAINLAND,UNION ST,15:00-17:59,TUESDAY,HEATLEY AVE,N,N,VANCOUVER,VANCOUVER,HEATLEY AVE & UNION ST,UNION ST,1,49.277481,-123.089697,1
LOWER MAINLAND,2016,CASUALTY,Yes,SATURDAY,SINGLE VEHICLE,Yes,JANUARY,No,VANCOUVER,No,No,LOWER MAINLAND,JACKSON AVE,12:00-14:59,SATURDAY,UNION ST,N,N,VANCOUVER,VANCOUVER,JACKSON AVE & UNION ST,JACKSON AVE,1,49.277558,-123.093588,1
LOWER MAINLAND,2019,CASUALTY,Yes,MONDAY,SINGLE VEHICLE,Yes,APRIL,No,VANCOUVER,No,No,LOWER MAINLAND,W 3RD AVE,12:00-14:59,MONDAY,ONTARIO ST,N,N,VANCOUVER,VANCOUVER,E 3RD AVE & ONTARIO ST & W 3RD AVE,W 3RD AVE,1,49.268301,-123.104686,1
LOWER MAINLAND,2018,CASUALTY,Yes,TUESDAY,UNDETERMINED,Yes,NOVEMBER,No,VANCOUVER,No,No,LOWER MAINLAND,W 3RD AVE,15:00-17:59,TUESDAY,BURRARD ST,N,N,VANCOUVER,VANCOUVER,BURRARD ST & W 3RD AVE,W 3RD AVE,1,49.2689,-123.145594,1
LOWER MAINLAND,2017,PROPERTY DAMAGE ONLY,Yes,WEDNESDAY,SINGLE VEHICLE,Yes,MARCH,No,VANCOUVER,No,No,LOWER MAINLAND,CLARK DR,06:00-08:59,WEDNESDAY,E 2ND AVE,N,N,VANCOUVER,VANCOUVER,CLARK DR & E 2ND AVE,CLARK DR,1,49.268754,-123.077385,1
LOWER MAINLAND,2018,CASUALTY,Yes,MONDAY,SINGLE VEHICLE,Yes,SEPTEMBER,No,VANCOUVER,No,No,LOWER MAINLAND,CAROLINA ST,15:00-17:59,MONDAY,E 15TH AVE,N,N,VANCOUVER,VANCOUVER,CAROLINA ST & E 15TH AVE & KINGSWAY,CAROLINA ST,1,49.257326,-123.091813,1
LOWER MAINLAND,2016,CASUALTY,Yes,TUESDAY,SINGLE VEHICLE,Yes,SEPTEMBER,No,VANCOUVER,No,No,LOWER MAINLAND,GRANDVIEW HWY N,15:00-17:59,TUESDAY,NANAIMO ST,N,N,VANCOUVER,VANCOUVER,GRANDVIEW HWY N & NANAIMO ST,GRANDVIEW HWY N,1,49.258468,-123.056617,1
LOWER MAINLAND,2017,PROPERTY DAMAGE ONLY,Yes,TUESDAY,UNDETERMINED,Yes,AUGUST,No,VANCOUVER,No,No,LOWER MAINLAND,QUEBEC ST,06:00-08:59,TUESDAY,E 2ND AVE,N,N,VANCOUVER,VANCOUVER,E 2ND AVE & QUEBEC ST,QUEBEC ST,1,49.269212,-123.102714,1
LOWER MAINLAND,2016,CASUALTY,Yes,THURSDAY,SINGLE VEHICLE,No,JULY,No,VANCOUVER,Yes,No,LOWER MAINLAND,QUEBEC ST,09:00-11:59,THURSDAY,NA,N,Y,VANCOUVER,VANCOUVER,QUEBEC ST,QUEBEC ST,1,49.271528000000004,-123.102196,1
LOWER MAINLAND,2015,CASUALTY,Yes,TUESDAY,UNDETERMINED,Yes,NOVEMBER,No,VANCOUVER,No,No,LOWER MAINLAND,W 13TH AVE,15:00-17:59,TUESDAY,HEATHER ST,N,N,VANCOUVER,VANCOUVER,HEATHER ST & W 13TH AVE,W 13TH AVE,1,49.259526,-123.119989,1
LOWER MAINLAND,2017,CASUALTY,Yes,FRIDAY,SINGLE VEHICLE,Yes,MAY,No,VANCOUVER,Yes,No,LOWER MAINLAND,COMMERCIAL DR,09:00-11:59,FRIDAY,E 12TH AVE,N,N,VANCOUVER,VANCOUVER,COMMERCIAL DR & E 12TH AVE,COMMERCIAL DR,1,49.259588,-123.069846,1
LOWER MAINLAND,2018,PROPERTY DAMAGE ONLY,Yes,THURSDAY,SINGLE VEHICLE,Yes,AUGUST,No,VANCOUVER,No,No,LOWER MAINLAND,E 2ND AVE,12:00-14:59,THURSDAY,QUEBEC ST,N,N,VANCOUVER,VANCOUVER,E 2ND AVE & QUEBEC ST,E 2ND AVE,1,49.269212,-123.102714,1
LOWER MAINLAND,2019,CASUALTY,Yes,THURSDAY,SINGLE VEHICLE,Yes,MAY,No,VANCOUVER,No,No,LOWER MAINLAND,BURRARD ST,21:00-23:59,THURSDAY,W 3RD AVE,N,N,VANCOUVER,VANCOUVER,BURRARD ST & W 3RD AVE,BURRARD ST,1,49.2689,-123.145594,1
LOWER MAINLAND,2016,CASUALTY,Yes,MONDAY,SINGLE VEHICLE,Yes,APRIL,No,VANCOUVER,No,No,LOWER MAINLAND,ALMA ST,15:00-17:59,MONDAY,W 4TH AVE,N,N,VANCOUVER,VANCOUVER,ALMA ST & W 4TH AVE,ALMA ST,1,49.268607,-123.185686,1
LOWER MAINLAND,2017,CASUALTY,Yes,TUESDAY,SINGLE VEHICLE,Yes,MARCH,No,VANCOUVER,No,No,LOWER MAINLAND,E 3RD AVE,09:00-11:59,TUESDAY,MAIN ST,N,N,VANCOUVER,VANCOUVER,E 3RD AVE & MAIN ST,E 3RD AVE,1,49.268228,-123.100739,1
LOWER MAINLAND,2019,CASUALTY,Yes,MONDAY,SINGLE VEHICLE,Yes,SEPTEMBER,No,VANCOUVER,No,No,LOWER MAINLAND,W 4TH AVE,18:00-20:59,MONDAY,MACDONALD ST,N,N,VANCOUVER,VANCOUVER,MACDONALD ST & W 4TH AVE,W 4TH AVE,1,49.26838,-123.168279,1
LOWER MAINLAND,2017,PROPERTY DAMAGE ONLY,Yes,FRIDAY,SINGLE VEHICLE,Yes,JULY,No,VANCOUVER,No,No,LOWER MAINLAND,E 16TH AVE,15:00-17:59,FRIDAY,GLEN DR,N,N,VANCOUVER,VANCOUVER,E 16TH AVE & GLEN DR,E 16TH AVE,1,49.256302,-123.081706,1
